,coin,type,price,qty,timestamp
0,BTC , SGD Buy Instant Order , 47742.87 5 , 0.00010368 ,2022-01-23 10:04:47
1,OMG , SGD Buy Instant Order , 5.84567 5 , 0.8467806 ,2022-01-23 10:04:11
2,LUNA , SGD Buy Instant Order , 89.5557 5 , 0.05527286 ,2022-01-23 10:03:40
3,LRC , SGD Buy Instant Order , 1.03235 5 , 4.79488545 ,2022-01-23 10:03:19
4,YFI , SGD Buy Instant Order , 32077.85 5 , 0.00015431 ,2022-01-23 10:02:15
5,FTM , SGD Buy Instant Order , 2.82645 5 , 1.75131348 ,2022-01-23 10:01:57
6,ENJ , LUNA Swap Instant Order , 0.032191 1.097 , 0.03496039 ,2022-01-07 02:35:26
7,MANA , SNX Swap Instant Order , 0.5291 0.874 , 0.45780906 ,2022-01-07 02:31:33
8,EGLD , YFI Swap Instant Order , 0.0065119 0.01 , 0.00006446 ,2022-01-06 07:28:36
9,AAVE , SGD Buy Instant Order , 311.461 5 , 0.01589284 ,2022-01-06 07:06:29
10,LUNA , SGD Sell Instant Order , 124.17 0.04222613 , 5.19 ,2022-01-03 16:46:02
11,LRC , SGD Buy Instant Order , 2.83655 5 , 1.74507764 ,2022-01-03 00:26:22
12,MKR , SGD Buy Instant Order , 3192.54 5 , 0.00155048 ,2022-01-01 21:55:20
13,YFI , SGD Sell Instant Order , 44820.96 0.00024112 , 10.69 ,2022-01-01 21:25:29
14,LRC , SGD Buy Instant Order , 2.77461 5 , 1.78403451 ,2021-12-29 21:17:15
15,BTC , SGD Buy Instant Order , 63575.24 5 , 0.00007786 ,2021-12-29 21:16:39
16,OMG , SGD Buy Instant Order , 8.30729 5 , 0.59586218 ,2021-12-29 21:13:49
17,ZEC , SHIB Swap Instant Order , 4309095.47 0.00225886 , 9636.30695943 ,2021-12-29 01:03:16
18,DAI , ETH Swap Instant Order , 0.00025737 3.63158821 , 0.00092531 ,2021-12-29 01:02:13
19,AVAX , SGD Buy Instant Order , 152.462 5 , 0.0324671 ,2021-12-29 01:00:02
20,LUNA , SGD Buy Instant Order , 117.226 5 , 0.04222612 ,2021-12-29 00:50:33
21,MKR , SGD Buy Instant Order , 3450.85 5 , 0.00143442 ,2021-12-28 18:46:33
22,YFI , SGD Buy Instant Order , 40655.88 5 , 0.00012175 ,2021-12-28 18:45:17
23,OMG , SGD Buy Instant Order , 8.92636 5 , 0.55453734 ,2021-12-28 15:12:37
24,LRC , SGD Buy Instant Order , 2.94536 5 , 1.6806095 ,2021-12-28 12:10:44
