,coin,type,price,qty,timestamp,amount,temp,qtyS
0,FTM,SGD Buy Instant Order,2.61065, 1.89607952 ,2022-02-12 13:20:50,5,,1.8960795
1,LRC,SGD Buy Instant Order,1.29331, 3.82738863 ,2022-02-12 11:30:41,5,,3.8273886
2,KSM,SGD Buy Instant Order,219.317, 0.02257006 ,2022-02-12 07:04:54,5,,0.0225700
3,MKR,SGD Buy Instant Order,2716.07, 0.00182248 ,2022-02-12 07:03:38,5,,0.0018224
4,SNX,SGD Buy Instant Order,6.50094, 0.76142834 ,2022-02-12 06:51:43,5,,0.7614283
8,LUNA,SGD Buy Instant Order,65.2323, 0.07588265 ,2022-02-03 08:55:23,5,,0.0758826
9,FTM,SGD Buy Instant Order,2.60325, 1.90146931 ,2022-02-03 08:54:36,5,,1.9014693
10,LRC,SGD Buy Instant Order,1.18597, 4.17379866 ,2022-02-03 08:54:05,5,,4.1737986
14,FTM,SGD Buy Instant Order,3.04245, 1.62697825 ,2022-01-27 07:05:35,5,,1.6269782
15,LUNA,SGD Buy Instant Order,86.229, 0.05740528 ,2022-01-26 20:33:55,5,,0.0574052
16,MKR,SGD Buy Instant Order,2445.34, 0.00202425 ,2022-01-26 20:31:30,5,,0.0020242
19,ENJ,SGD Buy Instant Order,2.02119, 2.44905229 ,2022-01-25 20:52:20,5,,2.4490522
21,EGLD,SGD Buy Instant Order,188.961, 0.02619588 ,2022-01-23 18:59:42,5,,0.0261958
22,AAVE,SGD Buy Instant Order,203.081, 0.02437451 ,2022-01-23 10:05:57,5,,0.0243745
23,SNX,SGD Buy Instant Order,5.25053, 0.94276196 ,2022-01-23 10:05:37,5,,0.9427619
24,ETH,SGD Buy Instant Order,3304.82, 0.00149781 ,2022-01-23 10:05:03,5,,0.0014978
0,BTC,SGD Buy Instant Order,47742.87, 0.00010368 ,2022-01-23 10:04:47,5,,0.0001036
1,OMG,SGD Buy Instant Order,5.84567, 0.8467806 ,2022-01-23 10:04:11,5,,0.846780
2,LUNA,SGD Buy Instant Order,89.5557, 0.05527286 ,2022-01-23 10:03:40,5,,0.0552728
3,LRC,SGD Buy Instant Order,1.03235, 4.79488545 ,2022-01-23 10:03:19,5,,4.7948854
4,YFI,SGD Buy Instant Order,32077.85, 0.00015431 ,2022-01-23 10:02:15,5,,0.0001543
5,FTM,SGD Buy Instant Order,2.82645, 1.75131348 ,2022-01-23 10:01:57,5,,1.7513134
9,AAVE,SGD Buy Instant Order,311.461, 0.01589284 ,2022-01-06 07:06:29,5,,0.0158928
