,coin,type,price,qty,timestamp,amount,temp
17,ENJ ,LUNA Swap Instant Order,0.032191,0.03496039,2022-01-07 02:35:26,1.097,
18,MANA ,SNX Swap Instant Order,0.5291,0.45780906,2022-01-07 02:31:33,0.874,
19,EGLD ,YFI Swap Instant Order,0.0065119,6.446e-05,2022-01-06 07:28:36,0.01,
28,ZEC ,SHIB Swap Instant Order,4309095.47,9636.30695943,2021-12-29 01:03:16,0.00225886,
29,DAI ,ETH Swap Instant Order,0.00025737,0.00092531,2021-12-29 01:02:13,3.63158821,
58,DOT ,AAVE Swap Instant Order,0.1549,0.03373722,2021-12-08 21:40:37,0.22,
63,ZEC ,ENJ Swap Instant Order,65.9924,2.02530675,2021-12-06 01:03:20,0.031,
68,DOT ,MANA Swap Instant Order,7.26135,2.22850831,2021-12-05 01:26:28,0.31,
73,CHZ ,ZEC Swap Instant Order,0.001822,0.01540468,2021-12-04 16:33:18,8.54022532,
74,RUNE ,ENJ Swap Instant Order,2.91102,1.00523941,2021-12-04 16:32:23,0.34881016,
75,CLV ,EGLD Swap Instant Order,0.003096,0.01004937,2021-12-04 16:31:17,3.27871024,
92,RUNE ,ENJ Swap Instant Order,3.09816,0.89481902,2021-12-01 01:05:00,0.29174013,
93,ICP ,EGLD Swap Instant Order,0.10611,0.00788083,2021-12-01 00:58:12,0.07502065,
98,ICP ,RUNE Swap Instant Order,3.92916,0.29174013,2021-11-30 07:43:18,0.075,
101,GRT ,ICP Swap Instant Order,0.022869,0.15002065,2021-11-29 22:15:02,6.62626332,
102,NANO ,DOT Swap Instant Order,0.13763,0.28452876,2021-11-29 21:35:25,2.08822781,
119,AXS ,MATIC Swap Instant Order,83.5013,1.96745928,2021-11-22 21:12:22,0.02380002,
120,ATOM ,LUNA Swap Instant Order,0.7572,0.07558185,2021-11-22 21:07:09,0.10082582,
121,LINK ,GRT Swap Instant Order,30.3729,2.82990169,2021-11-22 21:01:03,0.09411306,
140,MANA ,ENJ Swap Instant Order,0.87922,1.0433347,2021-11-07 21:06:10,1.19864589,
141,SAND ,LINK Swap Instant Order,0.084015,0.09411306,2021-11-06 19:20:50,1.13150874,
